營業日期	帳單編號	購買時間	商品編號
20200413	2020041350	2020/4/13 13:59	9650011
20200413	2020041350	2020/4/13 13:59	9650041
20200413	2020041351	2020/4/13 14:02	9660061
20200413	2020041351	2020/4/13 14:02	9751022
20200413	2020041352	2020/4/13 14:20	2650026
20200413	2020041353	2020/4/13 14:32	7650044
20200413	2020041353	2020/4/13 14:32	4650006
20200413	2020041353	2020/4/13 14:32	7690393
20200413	2020041354	2020/4/13 15:03	7650003
20200413	2020041354	2020/4/13 15:03	7650003
20200413	2020041354	2020/4/13 15:03	4650001
20200413	2020041355	2020/4/13 15:19	1650022
20200413	2020041355	2020/4/13 15:19	1650022
20200413	2020041355	2020/4/13 15:19	4650004
20200413	2020041355	2020/4/13 15:19	4660061
20200413	2020041356	2020/4/13 15:20	7650044
20200413	2020041356	2020/4/13 15:20	1650002
20200413	2020041356	2020/4/13 15:20	9660075
20200413	2020041356	2020/4/13 15:20	5660058
20200413	2020041356	2020/4/13 15:20	4650004
20200413	2020041357	2020/4/13 15:24	9660075
20200413	2020041360	2020/4/13 16:35	7690393
20200413	2020041360	2020/4/13 16:35	9751022
20200413	2020041360	2020/4/13 16:35	9751022
20200413	2020041361	2020/4/13 16:36	7650003
20200413	2020041361	2020/4/13 16:36	9660075
20200413	2020041361	2020/4/13 16:36	7650044
20200413	2020041361	2020/4/13 16:36	7650044
20200413	2020041361	2020/4/13 16:36	7650044
20200413	2020041361	2020/4/13 16:36	9660060
20200413	2020041361	2020/4/13 16:36	7650044
20200413	2020041362	2020/4/13 16:40	9650041
20200413	2020041362	2020/4/13 16:40	7690393
20200413	2020041362	2020/4/13 16:40	7660145
20200413	2020041362	2020/4/13 16:40	1650002
20200413	2020041362	2020/4/13 16:40	9660060
20200413	2020041363	2020/4/13 16:53	4650004
20200413	2020041363	2020/4/13 16:53	7650003
20200413	2020041363	2020/4/13 16:53	9660075
20200413	2020041363	2020/4/13 16:53	7650003
20200413	2020041363	2020/4/13 16:53	7650003
20200413	2020041363	2020/4/13 16:53	9660075
20200413	2020041363	2020/4/13 16:53	9751022
20200413	2020041365	2020/4/13 17:20	9660069
20200413	2020041365	2020/4/13 17:20	4650006
20200413	2020041365	2020/4/13 17:20	5660058
20200413	2020041365	2020/4/13 17:20	4660061
20200413	2020041365	2020/4/13 17:20	1650022
20200413	2020041365	2020/4/13 17:20	9660075
20200413	2020041365	2020/4/13 17:20	4660061
20200413	2020041365	2020/4/13 17:20	4650006
20200413	2020041365	2020/4/13 17:20	9660060
20200413	2020041366	2020/4/13 17:26	7690393
20200413	2020041366	2020/4/13 17:26	9660061
20200413	2020041366	2020/4/13 17:26	9660061
20200413	2020041366	2020/4/13 17:26	9660091
20200413	2020041366	2020/4/13 17:26	7710606
20200413	2020041366	2020/4/13 17:26	8670164
20200413	2020041366	2020/4/13 17:26	9660060
20200413	2020041366	2020/4/13 17:26	9660091
20200413	2020041366	2020/4/13 17:26	9650011
20200413	2020041366	2020/4/13 17:26	7650003
20200413	2020041366	2020/4/13 17:26	9650011
20200413	2020041366	2020/4/13 17:26	4650006
20200413	2020041366	2020/4/13 17:26	5660058
20200413	2020041366	2020/4/13 17:26	7650003
20200413	2020041366	2020/4/13 17:26	7650003
20200413	2020041366	2020/4/13 17:26	7650003
20200413	2020041366	2020/4/13 17:26	4650016
20200413	2020041367	2020/4/13 17:26	7650003
20200413	2020041367	2020/4/13 17:26	9660060
20200413	2020041367	2020/4/13 17:26	9660075
20200413	2020041367	2020/4/13 17:26	4650016
20200413	2020041368	2020/4/13 17:57	650022
20200413	2020041368	2020/4/13 17:57	650022
20200413	2020041369	2020/4/13 17:59	7650003
20200413	2020041369	2020/4/13 17:59	4660092
20200413	2020041369	2020/4/13 17:59	9660060
20200413	2020041369	2020/4/13 17:59	4650016
20200413	2020041370	2020/4/13 17:59	9660075
20200413	2020041370	2020/4/13 17:59	9751022
20200413	2020041370	2020/4/13 17:59	5660058
20200413	2020041370	2020/4/13 17:59	9660075
20200413	2020041370	2020/4/13 17:59	9660075
20200413	2020041370	2020/4/13 17:59	9660075
20200413	2020041371	2020/4/13 18:50	7690393
20200413	2020041371	2020/4/13 18:50	9751022
20200413	2020041371	2020/4/13 18:50	9660061
20200413	2020041371	2020/4/13 18:50	4660092
20200413	2020041371	2020/4/13 18:50	9660060
20200413	2020041371	2020/4/13 18:50	2650026
20200413	2020041371	2020/4/13 18:50	4660092
20200413	2020041371	2020/4/13 18:50	5660058
20200413	2020041373	2020/4/13 19:22	9650034
20200413	2020041373	2020/4/13 19:22	2650026
20200413	2020041373	2020/4/13 19:22	4650006
20200413	2020041373	2020/4/13 19:22	9660069
20200413	2020041373	2020/4/13 19:22	9650034
20200413	2020041373	2020/4/13 19:22	9650034
20200413	2020041373	2020/4/13 19:22	4650013
20200413	2020041373	2020/4/13 19:22	9650034
20200413	2020041373	2020/4/13 19:22	9660061
20200413	2020041376	2020/4/13 19:51	7650003
20200413	2020041376	2020/4/13 19:51	9660075
20200413	2020041376	2020/4/13 19:51	9650011
20200413	2020041376	2020/4/13 19:51	1650002
20200413	2020041376	2020/4/13 19:51	9650041
20200413	2020041376	2020/4/13 19:51	9751009
20200413	2020041376	2020/4/13 19:51	7650003
20200413	2020041377	2020/4/13 20:05	7690393
20200413	2020041377	2020/4/13 20:05	8670164
20200413	2020041377	2020/4/13 20:05	9660075
20200413	2020041377	2020/4/13 20:05	9751009
20200413	2020041377	2020/4/13 20:05	9660061
20200413	2020041377	2020/4/13 20:05	9650041
20200413	2020041377	2020/4/13 20:05	9751022
20200413	2020041377	2020/4/13 20:05	650004
20200413	2020041377	2020/4/13 20:05	9751022
20200413	2020041377	2020/4/13 20:05	9751009
20200413	2020041377	2020/4/13 20:05	9660060
20200413	2020041377	2020/4/13 20:05	9660075
20200413	2020041377	2020/4/13 20:05	4650013
20200413	2020041377	2020/4/13 20:05	8650047
20200413	2020041377	2020/4/13 20:05	4650013
20200413	2020041378	2020/4/13 20:08	6570028
20200413	2020041378	2020/4/13 20:08	4650001
20200413	2020041378	2020/4/13 20:08	1650022
20200413	2020041378	2020/4/13 20:08	4650006
20200413	2020041379	2020/4/13 20:41	9660075
20200413	2020041379	2020/4/13 20:41	9660091
20200413	2020041379	2020/4/13 20:41	9660091
20200413	2020041379	2020/4/13 20:41	7710606
20200413	2020041379	2020/4/13 20:41	9660075
20200413	2020041379	2020/4/13 20:41	4650016
20200413	2020041379	2020/4/13 20:41	4650016
20200413	2020041380	2020/4/13 21:02	9650034
20200413	2020041380	2020/4/13 21:02	9650034
20200413	2020041380	2020/4/13 21:02	4650004
20200413	2020041380	2020/4/13 21:02	4650016
20200413	2020041380	2020/4/13 21:02	5660058
20200413	2020041380	2020/4/13 21:02	9650041
20200413	2020041380	2020/4/13 21:02	9650034
20200413	2020041382	2020/4/13 21:31	7690393
20200413	2020041382	2020/4/13 21:31	7650044
20200413	2020041382	2020/4/13 21:31	4650016
20200413	2020041382	2020/4/13 21:31	8670164
20200413	2020041382	2020/4/13 21:31	7650044
20200413	2020041384	2020/4/13 21:35	2650026
20200413	2020041384	2020/4/13 21:35	7690393
20200413	2020041385	2020/4/13 21:37	7650003
20200413	2020041385	2020/4/13 21:37	7650003
20200413	2020041385	2020/4/13 21:37	7650003
20200413	2020041385	2020/4/13 21:37	7650003
20200413	2020041386	2020/4/13 21:40	7690393
20200413	2020041386	2020/4/13 21:40	7660100
20200413	2020041386	2020/4/13 21:40	9650044
20200413	2020041387	2020/4/13 21:51	7690393
20200413	2020041387	2020/4/13 21:51	9751022
20200413	2020041387	2020/4/13 21:51	9660060
20200413	2020041387	2020/4/13 21:51	4660061
20200413	2020041388	2020/4/13 21:52	7650044
20200413	2020041388	2020/4/13 21:52	1650002
20200413	2020041388	2020/4/13 21:52	2650026
20200413	2020041388	2020/4/13 21:52	1650022
20200413	2020041388	2020/4/13 21:52	9650041
20200413	2020041388	2020/4/13 21:52	1650022
20200413	2020041388	2020/4/13 21:52	2650026
20200413	2020041388	2020/4/13 21:52	4650016
20200413	2020041389	2020/4/13 21:53	7690393
20200413	2020041389	2020/4/13 21:53	7660100
20200413	2020041389	2020/4/13 21:53	7660100
20200413	2020041389	2020/4/13 21:53	7660100
20200413	2020041391	2020/4/13 22:16	7650044
20200413	2020041391	2020/4/13 22:16	2650026
20200413	2020041391	2020/4/13 22:16	7650044
20200413	2020041391	2020/4/13 22:16	7650044
20200413	2020041391	2020/4/13 22:16	7650044
20200413	2020041393	2020/4/13 22:22	7690393
20200413	2020041393	2020/4/13 22:22	9660091
20200413	2020041393	2020/4/13 22:22	9660091
20200413	2020041393	2020/4/13 22:22	7710606
20200413	2020041393	2020/4/13 22:22	4650006
20200413	2020041393	2020/4/13 22:22	4650006
20200413	2020041393	2020/4/13 22:22	4650004
20200413	2020041394	2020/4/13 22:23	1650002
20200413	2020041394	2020/4/13 22:23	2650026
20200413	2020041394	2020/4/13 22:23	4650016
20200413	2020041394	2020/4/13 22:23	9660091
20200413	2020041394	2020/4/13 22:23	4650004
20200413	2020041394	2020/4/13 22:23	7710606
20200413	2020041394	2020/4/13 22:23	6660080
20200413	2020041395	2020/4/13 22:25	4650014
20200413	2020041395	2020/4/13 22:25	7660100
20200413	2020041395	2020/4/13 22:25	4660136
20200413	2020041395	2020/4/13 22:25	1650022
20200413	2020041395	2020/4/13 22:25	4650014
20200413	2020041395	2020/4/13 22:25	2650026
20200413	2020041395	2020/4/13 22:25	4650016
20200413	2020041395	2020/4/13 22:25	1650022
20200413	2020041395	2020/4/13 22:25	9660075
20200413	2020041396	2020/4/13 22:38	7690393
20200413	2020041396	2020/4/13 22:38	7650044
20200413	2020041397	2020/4/13 22:42	7690393
20200413	2020041397	2020/4/13 22:42	9650011
20200413	2020041397	2020/4/13 22:42	7660100
20200413	2020041398	2020/4/13 22:45	7650044
20200413	2020041398	2020/4/13 22:45	7650044
20200413	2020041398	2020/4/13 22:45	7650044
20200413	2020041398	2020/4/13 22:45	9660060
20200413	2020041398	2020/4/13 22:45	9660075
20200413	2020041398	2020/4/13 22:45	7650044
20200413	2020041398	2020/4/13 22:45	7650044
20200413	2020041398	2020/4/13 22:45	7650044
20200413	2020041399	2020/4/13 22:49	7650003
20200413	2020041399	2020/4/13 22:49	7650003
20200413	2020041399	2020/4/13 22:49	7650003
20200413	2020041399	2020/4/13 22:49	7650003
20200413	2020041399	2020/4/13 22:49	7650003
20200413	2020041401	2020/4/13 23:33	1650007
20200413	2020041401	2020/4/13 23:33	9660060
20200413	2020041403	2020/4/13 23:39	4650016
20200413	2020041336	2020/4/14 00:00	7690393
20200413	2020041336	2020/4/14 00:00	4650006
20200413	2020041336	2020/4/14 00:00	7660134
20200413	2020041336	2020/4/14 00:00	1650007
20200413	2020041336	2020/4/14 00:00	1650002
20200413	2020041336	2020/4/14 00:00	7650044
20200413	2020041336	2020/4/14 00:00	9660069
20200413	2020041336	2020/4/14 00:00	1650007
20200413	2020041336	2020/4/14 00:00	4650014
20200413	2020041336	2020/4/14 00:00	7650044
